tasks,type,matrix,time
4,openmp,matrices/A_n1e6_d4.mtx,1.96135
4,openmp,matrices/A_n2e6_d4.mtx,3.98421
4,openmp,matrices/A_n3e6_d4.mtx,5.97132
4,openmp,matrices/A_n5e6_d4.mtx,10.3513
4,openmpi,matrices/A_n1e6_d4.mtx,2.7161
4,openmpi,matrices/A_n2e6_d4.mtx,5.50756
4,openmpi,matrices/A_n3e6_d4.mtx,8.17052
4,openmpi,matrices/A_n5e6_d4.mtx,13.8594
2,openmpi,matrices/A_n1e6_d4.mtx,4.87316
2,openmpi,matrices/A_n2e6_d4.mtx,9.93229
1,openmpi,matrices/A_n1e6_d4.mtx,9.30873
2,openmpi,matrices/A_n3e6_d4.mtx,14.8346
1,openmpi,matrices/A_n2e6_d4.mtx,19.0052
2,openmpi,matrices/A_n5e6_d4.mtx,24.9601
1,openmpi,matrices/A_n3e6_d4.mtx,27.6296
1,openmpi,matrices/A_n5e6_d4.mtx,46.5012
4,openmp,matrices/A_n1e6_d4.mtx,1.99021
1,openmp,matrices/A_n1e6_d4.mtx,7.62912
4,openmpi,matrices/A_n1e6_d4.mtx,2.73684
4,openmpi,matrices/A_n2e6_d4.mtx,5.48863
4,openmpi,matrices/A_n3e6_d4.mtx,8.17584
4,openmpi,matrices/A_n5e6_d4.mtx,13.8172
4,openmp,matrices/A_n2e6_d4.mtx,4.00113
1,openmp,matrices/A_n2e6_d4.mtx,15.404
4,openmp,matrices/A_n3e6_d4.mtx,6.03328
1,openmp,matrices/A_n3e6_d4.mtx,23.4899
4,openmp,matrices/A_n5e6_d4.mtx,10.414
2,openmpi,matrices/A_n1e6_d4.mtx,4.91917
1,openmp,matrices/A_n5e6_d4.mtx,39.2893
2,openmpi,matrices/A_n2e6_d4.mtx,9.93206
2,openmp,matrices/A_n1e6_d4.mtx,3.90404
2,openmpi,matrices/A_n3e6_d4.mtx,14.8457
2,openmp,matrices/A_n2e6_d4.mtx,8.05818
2,openmpi,matrices/A_n5e6_d4.mtx,24.9415
2,openmp,matrices/A_n3e6_d4.mtx,11.8739
1,openmpi,matrices/A_n1e6_d4.mtx,9.26466
2,openmp,matrices/A_n5e6_d4.mtx,20.434
1,openmpi,matrices/A_n2e6_d4.mtx,18.4588
